data,val,Percentage Daily Movement,Percentage Price Change
2021-10-08,81.54,0.037668617968948936,1.7134775374376043
2021-10-11,82.53,0.012141280353200834,1.7464226289517473
2021-10-12,82.37,-0.001938688961589663,1.7410981697171384
2021-10-13,81.79,-0.007041398567439572,1.7217970049916809
2021-10-14,82.5,0.008680767820026913,1.745424292845258
2021-10-15,83.54,0.012606060606060732,1.7800332778702166
2021-10-18,84.04,0.00598515681110845,1.7966722129783697
2021-10-19,83.48,-0.006663493574488366,1.778036605657238
2021-10-20,83.3,-0.002156205079060891,1.7720465890183028
2021-10-21,83.36,0.0007202881152461593,1.7740432612312813
2021-10-22,83.4,0.00047984644913645624,1.7753743760399336
2021-10-25,84.66,0.01510791366906461,1.817304492512479
2021-10-26,84.52,-0.0016536735175998185,1.8126455906821963
2021-10-27,83.72,-0.009465215333648858,1.7860232945091514
2021-10-28,82.41,-0.01564739608217869,1.7424292845257903
2021-10-29,82.87,0.005581846863244921,1.7577371048252914
2021-11-01,82.55,-0.0038614697719320246,1.7470881863560732
2021-11-02,83.43,0.01066020593579653,1.776372712146423
2021-11-03,81.64,-0.02145511206999884,1.7168053244592347
2021-11-04,81.48,-0.0019598236158745452,1.7114808652246258
2021-11-05,80.16,-0.016200294550810068,1.6675540765391015
2021-11-08,82.39,0.02781936127744511,1.7417637271214643
2021-11-09,82.7,0.003762592547639221,1.7520798668885194
2021-11-10,83.75,0.012696493349455773,1.7870216306156406
2021-11-11,81.99,-0.02101492537313443,1.7284525790349416
2021-11-12,81.7,-0.00353701670935469,1.7188019966722132
2021-11-15,80.9,-0.009791921664626613,1.6921797004991683
2021-11-16,82.01,0.013720642768850322,1.729118136439268
2021-11-17,81.1,-0.011096207779539236,1.698835274542429
2021-11-18,79.37,-0.02133168927250295,1.6412645590682198
2021-11-19,80.32,0.011969257906009778,1.6728785357737104
2021-11-22,78.9,-0.017679282868525714,1.625623960066556
2021-11-23,79.4,0.006337135614702172,1.6422628951747091
2021-11-24,81.75,0.029596977329974683,1.7204658901830283
2021-11-25,81.31,-0.005382262996941889,1.7058236272878537
2021-11-26,76.09,-0.06419874554175375,1.5321131447587357
2021-11-29,74.2,-0.02483900643974246,1.469217970049917
2021-11-30,71.01,-0.042991913746630694,1.3630615640599004
2021-12-01,71.67,0.009294465568229882,1.3850249584026624
2021-12-02,70.07,-0.022324543044509704,1.3317803660565721
2021-12-03,71.65,0.022548879691737023,1.3843594009983364
2021-12-06,71.45,-0.002791346824843055,1.377703826955075
2021-12-07,74.65,0.04478656403079073,1.4841930116472548
2021-12-08,75.13,0.006430006697923485,1.5001663893510815
2021-12-09,75.41,0.0037268734194064734,1.5094841930116472
2021-12-10,74.07,-0.017769526587985696,1.4648918469217969
2021-12-13,75.04,0.013095720264614696,1.4971713810316143
2021-12-14,74.28,-0.010127931769722931,1.4718801996672215
2021-12-15,73.12,-0.01561658589122239,1.4332778702163063
2021-12-16,74.66,0.021061269146608108,1.4845257903494176
2021-12-17,74.23,-0.005759442807393378,1.4702163061564062
2021-12-20,70.94,-0.04432170281557335,1.3607321131447587
2021-12-21,72.18,0.017479560191711485,1.4019966722129786
2021-12-22,73.99,0.025076198392906424,1.4622296173044924
2021-12-23,75.16,0.01581294769563457,1.5011647254575706
2021-12-24,75.5,0.004523682810005258,1.5124792013311148
2021-12-27,75.63,0.0017218543046357837,1.5168053244592345
2021-12-28,77.39,0.02327118868174005,1.5753743760399335
2021-12-29,78.17,0.01007882155317219,1.6013311148086524
2021-12-30,78.33,0.002046821031085999,1.6066555740432613
2021-12-31,77.97,-0.0045959402527766535,1.594675540765391
2022-01-03,77.86,-0.0014107990252660851,1.5910149750415974
2022-01-04,78.78,0.011816080143848051,1.621630615640599
2022-01-05,79.92,0.0144706778370145,1.6595673876871881
2022-01-06,80.65,0.00913413413413422,1.6838602329450918
2022-01-07,82.0,0.01673899566026038,1.7287853577371048
2022-01-10,81.6,-0.00487804878048792,1.7154742096505822
2022-01-11,81.97,0.004534313725490291,1.7277870216306157
2022-01-12,84.19,0.027083079175308056,1.8016638935108154
2022-01-13,84.56,0.00439482123767676,1.8139767054908487
2022-01-14,85.3,0.008751182592242168,1.838602329450915
2022-01-17,86.38,0.012661195779601453,1.8745424292845256
2022-01-18,87.93,0.01794396851122948,1.9261231281198006
2022-01-19,88.33,0.004549073126350445,1.9394342762063228
2022-01-20,88.39,0.0006792709158836008,1.9414309484193013
2022-01-21,87.3,-0.012331711732096462,1.9051580698835273
2022-01-24,87.83,0.006071019473081307,1.9227953410981697
